Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=53, num_train_steps=500000, learning_starts=10000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=50000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=10.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=3, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30)
Episode: 352, total numsteps: 7334, return: 2.34
Episode: 353, total numsteps: 7390, return: 29.39
Episode: 354, total numsteps: 7415, return: 10.36
Episode: 355, total numsteps: 7433, return: 1.4
Episode: 356, total numsteps: 7444, return: -5.52
Episode: 357, total numsteps: 7460, return: 4.02
Episode: 358, total numsteps: 7482, return: -7.51
Episode: 359, total numsteps: 7508, return: 4.26
Episode: 360, total numsteps: 7529, return: -3.85
Episode: 361, total numsteps: 7553, return: -2.4
Episode: 362, total numsteps: 7575, return: -4.24
Episode: 363, total numsteps: 7600, return: 15.34
Episode: 364, total numsteps: 7620, return: 4.99
Episode: 365, total numsteps: 7640, return: 7.38
Episode: 366, total numsteps: 7681, return: 17.63
Episode: 367, total numsteps: 7696, return: -8.35
Episode: 368, total numsteps: 7727, return: -0.42
Episode: 369, total numsteps: 7742, return: 0.82
Episode: 370, total numsteps: 7776, return: 11.97
Episode: 371, total numsteps: 7794, return: -0.71
Episode: 372, total numsteps: 7808, return: -8.86
Episode: 373, total numsteps: 7819, return: 0.09
Episode: 374, total numsteps: 7839, return: -3.0
Episode: 375, total numsteps: 7856, return: -7.67
Episode: 376, total numsteps: 7876, return: 1.81
Episode: 377, total numsteps: 7887, return: -1.09
Episode: 378, total numsteps: 7907, return: 5.68
Episode: 379, total numsteps: 7924, return: 3.98
Episode: 380, total numsteps: 7938, return: -2.84
Episode: 381, total numsteps: 7953, return: 0.41
Episode: 382, total numsteps: 7983, return: 7.47
Episode: 383, total numsteps: 8004, return: -0.92
Episode: 384, total numsteps: 8034, return: 8.3
Episode: 385, total numsteps: 8050, return: 4.12
Episode: 386, total numsteps: 8071, return: -4.28
Episode: 387, total numsteps: 8089, return: 2.52
Episode: 388, total numsteps: 8108, return: -1.34
Episode: 389, total numsteps: 8122, return: -3.03
Episode: 390, total numsteps: 8132, return: -4.2
Episode: 391, total numsteps: 8146, return: -3.99
Episode: 392, total numsteps: 8160, return: -6.01
Episode: 393, total numsteps: 8176, return: 3.11
Episode: 394, total numsteps: 8206, return: 18.31
Episode: 395, total numsteps: 8243, return: -3.04
Episode: 396, total numsteps: 8265, return: 1.43
Episode: 397, total numsteps: 8288, return: 3.12
Episode: 398, total numsteps: 8301, return: -0.23
Episode: 399, total numsteps: 8315, return: -4.68
Episode: 400, total numsteps: 8339, return: -3.25
Episode: 401, total numsteps: 8365, return: 17.52
Episode: 402, total numsteps: 8379, return: -5.62
Episode: 403, total numsteps: 8396, return: -5.61
Episode: 404, total numsteps: 8405, return: -3.05
Episode: 405, total numsteps: 8423, return: 3.21
Episode: 406, total numsteps: 8442, return: 1.44
