Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=24, num_train_steps=500000, learning_starts=10000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=50000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=1.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=3, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30)
Episode: 346, total numsteps: 7512, return: 3.63
Episode: 347, total numsteps: 7536, return: -1.43
Episode: 348, total numsteps: 7559, return: 1.28
Episode: 349, total numsteps: 7574, return: 0.64
Episode: 350, total numsteps: 7590, return: 0.47
Episode: 351, total numsteps: 7624, return: 9.67
Episode: 352, total numsteps: 7638, return: 1.78
Episode: 353, total numsteps: 7655, return: -7.5
Episode: 354, total numsteps: 7669, return: -1.12
Episode: 355, total numsteps: 7693, return: 7.85
Episode: 356, total numsteps: 7706, return: 0.54
Episode: 357, total numsteps: 7716, return: -0.8
Episode: 358, total numsteps: 7745, return: 3.23
Episode: 359, total numsteps: 7767, return: 0.12
Episode: 360, total numsteps: 7806, return: 9.81
Episode: 361, total numsteps: 7831, return: 3.1
Episode: 362, total numsteps: 7852, return: -4.37
Episode: 363, total numsteps: 7871, return: 4.79
Episode: 364, total numsteps: 7887, return: -1.51
Episode: 365, total numsteps: 7920, return: 16.37
Episode: 366, total numsteps: 7950, return: 8.02
Episode: 367, total numsteps: 7974, return: 0.69
Episode: 368, total numsteps: 8004, return: 3.19
Episode: 369, total numsteps: 8020, return: 2.32
Episode: 370, total numsteps: 8029, return: -2.62
Episode: 371, total numsteps: 8042, return: 0.56
Episode: 372, total numsteps: 8063, return: 0.83
Episode: 373, total numsteps: 8075, return: -0.55
Episode: 374, total numsteps: 8109, return: 10.58
Episode: 375, total numsteps: 8129, return: 7.67
Episode: 376, total numsteps: 8150, return: 8.91
Episode: 377, total numsteps: 8160, return: -2.05
Episode: 378, total numsteps: 8186, return: -3.65
Episode: 379, total numsteps: 8205, return: -1.26
Episode: 380, total numsteps: 8226, return: 6.94
Episode: 381, total numsteps: 8239, return: -1.63
Episode: 382, total numsteps: 8250, return: -0.71
Episode: 383, total numsteps: 8281, return: -3.11
Episode: 384, total numsteps: 8300, return: -1.63
Episode: 385, total numsteps: 8323, return: 5.6
Episode: 386, total numsteps: 8340, return: -0.78
Episode: 387, total numsteps: 8375, return: 5.72
Episode: 388, total numsteps: 8384, return: -2.66
Episode: 389, total numsteps: 8410, return: 2.65
Episode: 390, total numsteps: 8419, return: -5.6
Episode: 391, total numsteps: 8437, return: 7.63
Episode: 392, total numsteps: 8450, return: 0.1
Episode: 393, total numsteps: 8476, return: 0.63
Episode: 394, total numsteps: 8503, return: 6.8
Episode: 395, total numsteps: 8525, return: -1.0
Episode: 396, total numsteps: 8566, return: -0.84
Episode: 397, total numsteps: 8575, return: -1.93
Episode: 398, total numsteps: 8589, return: 1.98
Episode: 399, total numsteps: 8616, return: 2.92
