Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=93, num_train_steps=500000, learning_starts=10000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=50000, eval_episode_interval=10000, num_eval_episodes=1, latent_dims=50, model_hidden_dims=256, model_num_layers=2, kl_constraint=0.1, lambda_init=1e-05, alpha_autotune=False, alpha_init=0.2, noise_factor=1, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30)
Episode: 420, total numsteps: 8737, return: -1.45
Episode: 421, total numsteps: 8756, return: 4.35
Episode: 422, total numsteps: 8771, return: -1.11
Episode: 423, total numsteps: 8791, return: 8.6
Episode: 424, total numsteps: 8807, return: -7.36
Episode: 425, total numsteps: 8827, return: 9.26
Episode: 426, total numsteps: 8842, return: 0.35
Episode: 427, total numsteps: 8867, return: -2.68
Episode: 428, total numsteps: 8887, return: -2.27
Episode: 429, total numsteps: 8906, return: 4.95
Episode: 430, total numsteps: 8924, return: 1.82
Episode: 431, total numsteps: 8950, return: 4.2
Episode: 432, total numsteps: 8978, return: 7.08
Episode: 433, total numsteps: 9001, return: -3.53
Episode: 434, total numsteps: 9020, return: 0.94
Episode: 435, total numsteps: 9037, return: 2.55
Episode: 436, total numsteps: 9059, return: -6.19
Episode: 437, total numsteps: 9073, return: -1.44
Episode: 438, total numsteps: 9093, return: -3.88
Episode: 439, total numsteps: 9111, return: 9.05
Episode: 440, total numsteps: 9135, return: -3.23
Episode: 441, total numsteps: 9184, return: 21.37
Episode: 442, total numsteps: 9208, return: 0.12
Episode: 443, total numsteps: 9225, return: -0.97
Episode: 444, total numsteps: 9258, return: 0.2
Episode: 445, total numsteps: 9268, return: -1.04
Episode: 446, total numsteps: 9291, return: 9.07
Episode: 447, total numsteps: 9304, return: -1.05
Episode: 448, total numsteps: 9333, return: 9.72
Episode: 449, total numsteps: 9356, return: 0.12
Episode: 450, total numsteps: 9374, return: -1.41
Episode: 451, total numsteps: 9394, return: 4.53
Episode: 452, total numsteps: 9422, return: 8.9
Episode: 453, total numsteps: 9432, return: -2.31
Episode: 454, total numsteps: 9455, return: 9.46
Episode: 455, total numsteps: 9490, return: -3.16
Episode: 456, total numsteps: 9509, return: 7.52
Episode: 457, total numsteps: 9532, return: -8.16
Episode: 458, total numsteps: 9561, return: 5.81
Episode: 459, total numsteps: 9574, return: 2.18
Episode: 460, total numsteps: 9597, return: 3.39
Episode: 461, total numsteps: 9625, return: 1.76
Episode: 462, total numsteps: 9657, return: -2.23
Episode: 463, total numsteps: 9677, return: -2.02
Episode: 464, total numsteps: 9712, return: 6.37
Episode: 465, total numsteps: 9737, return: -4.72
Episode: 466, total numsteps: 9757, return: -2.4
Episode: 467, total numsteps: 9779, return: 3.69
Episode: 468, total numsteps: 9797, return: 0.05
Episode: 469, total numsteps: 9809, return: 0.26
Episode: 470, total numsteps: 9828, return: -2.43
Episode: 471, total numsteps: 9843, return: -3.24
Episode: 472, total numsteps: 9853, return: -2.49
Episode: 473, total numsteps: 9867, return: 3.25
Episode: 474, total numsteps: 9875, return: -4.12
Episode: 475, total numsteps: 9899, return: -3.06
Episode: 476, total numsteps: 9921, return: 3.98
Episode: 477, total numsteps: 9937, return: -3.82
Episode: 478, total numsteps: 9957, return: 3.21
Episode: 479, total numsteps: 9966, return: -2.93
Episode: 480, total numsteps: 9988, return: 7.41
Episode: 481, total numsteps: 9998, return: -1.92
wandb: WARNING `fps` argument does not affect the frame rate of the video when providing a file path or raw bytes.
Episode: 482, total numsteps: 10018, return: 4.75
Episode: 483, total numsteps: 10048, return: 14.43
Episode: 484, total numsteps: 10083, return: 5.83
Episode: 485, total numsteps: 10118, return: 14.03
Episode: 486, total numsteps: 10225, return: -47.1
Episode: 487, total numsteps: 10320, return: -21.91
Episode: 488, total numsteps: 10423, return: 8.56
Episode: 489, total numsteps: 10559, return: -10.1
Episode: 490, total numsteps: 10739, return: 49.28
Episode: 491, total numsteps: 10902, return: 9.7
Episode: 492, total numsteps: 11082, return: 42.82
Episode: 493, total numsteps: 11258, return: 290.16
Episode: 494, total numsteps: 11468, return: 94.47
Episode: 495, total numsteps: 11640, return: 288.38
Episode: 496, total numsteps: 11854, return: 328.11
Episode: 497, total numsteps: 12097, return: 359.55
Episode: 498, total numsteps: 12353, return: 380.34
Episode: 499, total numsteps: 12533, return: 72.63
Episode: 500, total numsteps: 12731, return: 87.64
Episode: 501, total numsteps: 12920, return: 309.18
Episode: 502, total numsteps: 13192, return: 139.14
Episode: 503, total numsteps: 13393, return: 318.23
Episode: 504, total numsteps: 13677, return: 410.23
Episode: 505, total numsteps: 13857, return: 298.75
Episode: 506, total numsteps: 14025, return: 282.88
Episode: 507, total numsteps: 14249, return: 330.09
Episode: 508, total numsteps: 14444, return: 310.24
Episode: 509, total numsteps: 14585, return: 247.34
Episode: 510, total numsteps: 14764, return: 307.09
Episode: 511, total numsteps: 14915, return: 251.29
Episode: 512, total numsteps: 15152, return: 385.79
Episode: 513, total numsteps: 16152, return: 933.73
Episode: 514, total numsteps: 16738, return: 721.64
Episode: 515, total numsteps: 17023, return: 383.94
Episode: 516, total numsteps: 17252, return: 364.26
Episode: 517, total numsteps: 17386, return: 235.15
Episode: 518, total numsteps: 17566, return: 317.86
Episode: 519, total numsteps: 17719, return: 271.24
Episode: 520, total numsteps: 17909, return: 301.06
Episode: 521, total numsteps: 18056, return: 253.23
Episode: 522, total numsteps: 18423, return: 512.84
Episode: 523, total numsteps: 18664, return: 359.33
Episode: 524, total numsteps: 18805, return: 253.7
Episode: 525, total numsteps: 18915, return: 207.54
Episode: 526, total numsteps: 19180, return: 405.51
Episode: 527, total numsteps: 19403, return: 365.15
Episode: 528, total numsteps: 19561, return: 292.3
Episode: 529, total numsteps: 19997, return: 533.96
